Date,Open,High,Low,Close,Adj Close,Volume
2023-05-03,63.450001,64.949997,63.150002,63.549999,63.549999,65082316
2023-05-04,63.500000,66.599998,63.349998,65.699997,65.699997,123042355
2023-05-05,65.500000,66.699997,64.250000,65.400002,65.400002,94016138
2023-05-08,64.599998,66.199997,63.500000,64.900002,64.900002,104940671
2023-05-09,64.699997,64.699997,60.299999,60.950001,60.950001,127854883
2023-05-10,61.000000,62.900002,60.950001,61.799999,61.799999,70220898
2023-05-11,62.599998,63.500000,62.000000,62.400002,62.400002,75062855
2023-05-12,62.500000,63.650002,61.599998,62.599998,62.599998,73164520
2023-05-15,62.099998,64.099998,61.950001,63.700001,63.700001,55886001
2023-05-16,64.000000,65.000000,62.400002,63.000000,63.000000,59311532
2023-05-17,63.000000,64.050003,62.250000,63.349998,63.349998,47444527
2023-05-18,64.199997,64.599998,63.099998,63.500000,63.500000,54301847
2023-05-19,63.950001,65.000000,63.200001,64.500000,64.500000,73620039
2023-05-22,64.699997,66.849998,61.799999,63.500000,63.500000,147006670
2023-05-23,63.049999,64.000000,62.549999,63.200001,63.200001,50797759
2023-05-24,63.000000,64.699997,62.750000,64.449997,64.449997,60476729
2023-05-25,64.800003,68.199997,64.500000,67.300003,67.300003,139721311
2023-05-26,67.300003,68.250000,65.750000,67.250000,67.250000,86466135
2023-05-29,67.800003,68.400002,66.599998,67.099998,67.099998,56968141
2023-05-30,67.500000,68.300003,66.449997,66.849998,66.849998,60699589
2023-05-31,67.300003,70.000000,66.300003,69.050003,69.050003,251813391
2023-06-01,68.699997,68.800003,67.599998,67.949997,67.949997,57846081
2023-06-02,70.000000,73.199997,69.500000,71.150002,71.150002,170769117
2023-06-05,71.300003,72.150002,69.599998,71.250000,71.250000,84075166
2023-06-06,71.550003,73.150002,71.349998,72.349998,72.349998,64762959
2023-06-07,72.500000,75.000000,72.400002,74.500000,74.500000,67871844
2023-06-08,74.800003,76.349998,73.699997,75.800003,75.800003,88006842
2023-06-09,77.050003,78.000000,75.849998,77.599998,77.599998,77276802
2023-06-12,78.300003,80.300003,76.500000,77.949997,77.949997,105388190
